Date,Symbol,Direction,EntryPrice,Stop,Target1,Target2,Target3,Wave1_RR,Wave2_RR,Wave3_RR,Status
2023-09-05T00:00:00.000Z,SPY,PUT,449.24,458.6,435.2,425.84,411.8,1.5,2.5,4.0,3_WAVE
2023-09-06T00:00:00.000Z,SPY,PUT,446.22,455.68,432.03,422.57,408.38,1.5,2.5,4.0,3_WAVE
2023-09-07T00:00:00.000Z,SPY,PUT,444.85,453.99,431.14,422.0,408.29,1.5,2.5,4.0,3_WAVE
2023-09-08T00:00:00.000Z,SPY,CALL,445.52,436.66,458.81,467.67,480.96,1.5,2.5,4.0,3_WAVE
2023-09-11T00:00:00.000Z,SPY,CALL,448.45,439.81,461.41,470.05,483.01,1.5,2.5,4.0,3_WAVE
2023-09-12T00:00:00.000Z,SPY,CALL,445.99,437.41,458.86,467.44,480.31,1.5,2.5,4.0,3_WAVE
2023-09-13T00:00:00.000Z,SPY,CALL,446.51,438.35,458.75,466.91,479.15,1.5,2.5,4.0,3_WAVE
2023-09-14T00:00:00.000Z,SPY,CALL,450.36,442.74,461.79,469.41,480.84,1.5,2.5,4.0,3_WAVE
2023-09-15T00:00:00.000Z,SPY,PUT,443.37,451.15,431.7,423.92,412.25,1.5,2.5,4.0,3_WAVE
2023-09-18T00:00:00.000Z,SPY,PUT,443.63,451.27,432.17,424.53,413.07,1.5,2.5,4.0,3_WAVE
2023-09-19T00:00:00.000Z,SPY,PUT,442.71,449.87,431.97,424.81,414.07,1.5,2.5,4.0,3_WAVE
2023-09-20T00:00:00.000Z,SPY,PUT,438.64,446.26,427.21,419.59,408.16,1.5,2.5,4.0,3_WAVE
2023-09-21T00:00:00.000Z,SPY,PUT,431.39,439.69,418.94,410.64,398.19,1.5,2.5,4.0,3_WAVE
2023-10-19T00:00:00.000Z,SPY,PUT,426.43,438.31,408.61,396.73,378.91,1.5,2.5,4.0,3_WAVE
2023-10-20T00:00:00.000Z,SPY,PUT,421.19,433.25,403.1,391.04,372.95,1.5,2.5,4.0,3_WAVE
2023-11-10T00:00:00.000Z,SPY,PUT,440.61,450.99,425.04,414.66,399.09,1.5,2.5,4.0,3_WAVE
2023-11-13T00:00:00.000Z,SPY,CALL,440.19,430.01,455.46,465.64,480.91,1.5,2.5,4.0,3_WAVE
2023-11-14T00:00:00.000Z,SPY,CALL,448.73,438.09,464.69,475.33,491.29,1.5,2.5,4.0,3_WAVE
2024-04-15T00:00:00.000Z,SPY,CALL,504.45,492.41,522.51,534.55,552.61,1.5,2.5,4.0,3_WAVE
2024-04-16T00:00:00.000Z,SPY,CALL,503.53,491.33,521.83,534.03,552.33,1.5,2.5,4.0,3_WAVE
2024-04-17T00:00:00.000Z,SPY,CALL,500.55,487.97,519.42,532.0,550.87,1.5,2.5,4.0,3_WAVE
2024-04-18T00:00:00.000Z,SPY,CALL,499.52,486.4,519.2,532.32,552.0,1.5,2.5,4.0,3_WAVE
2024-04-19T00:00:00.000Z,SPY,PUT,495.16,508.72,474.82,461.26,440.92,1.5,2.5,4.0,3_WAVE
2024-04-22T00:00:00.000Z,SPY,PUT,499.72,513.5,479.05,465.27,444.6,1.5,2.5,4.0,3_WAVE
2024-04-23T00:00:00.000Z,SPY,PUT,505.65,519.91,484.26,470.0,448.61,1.5,2.5,4.0,3_WAVE
2024-04-24T00:00:00.000Z,SPY,PUT,505.41,518.69,485.49,472.21,452.29,1.5,2.5,4.0,3_WAVE
2024-05-06T00:00:00.000Z,SPY,PUT,516.57,529.53,497.13,484.17,464.73,1.5,2.5,4.0,3_WAVE
2024-05-07T00:00:00.000Z,SPY,PUT,517.14,529.38,498.78,486.54,468.18,1.5,2.5,4.0,3_WAVE
2024-05-08T00:00:00.000Z,SPY,PUT,517.19,529.01,499.46,487.64,469.91,1.5,2.5,4.0,3_WAVE
2024-05-09T00:00:00.000Z,SPY,PUT,520.17,531.55,503.1,491.72,474.65,1.5,2.5,4.0,3_WAVE
2024-05-10T00:00:00.000Z,SPY,PUT,520.84,531.62,504.67,493.89,477.72,1.5,2.5,4.0,3_WAVE
2024-05-13T00:00:00.000Z,SPY,CALL,520.91,510.65,536.3,546.56,561.95,1.5,2.5,4.0,3_WAVE
2024-05-14T00:00:00.000Z,SPY,CALL,523.3,513.18,538.48,548.6,563.78,1.5,2.5,4.0,3_WAVE
2024-05-15T00:00:00.000Z,SPY,CALL,529.78,519.82,544.72,554.68,569.62,1.5,2.5,4.0,3_WAVE
2024-07-30T00:00:00.000Z,SPY,CALL,542.0,527.54,563.69,578.15,599.84,1.5,2.5,4.0,3_WAVE
2024-07-31T00:00:00.000Z,SPY,CALL,550.81,535.63,573.58,588.76,611.53,1.5,2.5,4.0,3_WAVE
2024-08-01T00:00:00.000Z,SPY,CALL,543.01,526.65,567.55,583.91,608.45,1.5,2.5,4.0,3_WAVE
2024-08-02T00:00:00.000Z,SPY,CALL,532.9,515.24,559.39,577.05,603.54,1.5,2.5,4.0,3_WAVE
2024-08-05T00:00:00.000Z,SPY,PUT,517.38,537.76,486.81,466.43,435.86,1.5,2.5,4.0,3_WAVE
2024-08-06T00:00:00.000Z,SPY,PUT,522.15,543.11,490.71,469.75,438.31,1.5,2.5,4.0,3_WAVE
2024-08-07T00:00:00.000Z,SPY,PUT,518.66,540.26,486.26,464.66,432.26,1.5,2.5,4.0,3_WAVE
2024-08-08T00:00:00.000Z,SPY,PUT,530.65,553.17,496.87,474.35,440.57,1.5,2.5,4.0,3_WAVE
2024-08-09T00:00:00.000Z,SPY,PUT,532.99,555.47,499.27,476.79,443.07,1.5,2.5,4.0,3_WAVE
2024-08-12T00:00:00.000Z,SPY,PUT,533.27,555.93,499.28,476.62,442.63,1.5,2.5,4.0,3_WAVE
2024-08-16T00:00:00.000Z,SPY,PUT,554.31,575.63,522.33,501.01,469.03,1.5,2.5,4.0,3_WAVE
2024-08-19T00:00:00.000Z,SPY,PUT,559.61,580.49,528.29,507.41,476.09,1.5,2.5,4.0,3_WAVE
2024-08-20T00:00:00.000Z,SPY,PUT,558.7,578.44,529.09,509.35,479.74,1.5,2.5,4.0,3_WAVE
2024-08-21T00:00:00.000Z,SPY,CALL,560.62,542.02,588.52,607.12,635.02,1.5,2.5,4.0,3_WAVE
2024-08-22T00:00:00.000Z,SPY,CALL,556.22,538.52,582.77,600.47,627.02,1.5,2.5,4.0,3_WAVE
2024-08-23T00:00:00.000Z,SPY,CALL,562.13,546.67,585.32,600.78,623.97,1.5,2.5,4.0,3_WAVE
2024-09-06T00:00:00.000Z,SPY,CALL,540.36,526.3,561.45,575.51,596.6,1.5,2.5,4.0,3_WAVE
2024-09-09T00:00:00.000Z,SPY,CALL,546.41,532.11,567.86,582.16,603.61,1.5,2.5,4.0,3_WAVE
2024-09-10T00:00:00.000Z,SPY,CALL,548.79,534.17,570.72,585.34,607.27,1.5,2.5,4.0,3_WAVE
2024-09-11T00:00:00.000Z,SPY,CALL,554.42,538.66,578.06,593.82,617.46,1.5,2.5,4.0,3_WAVE
2024-09-12T00:00:00.000Z,SPY,CALL,559.09,543.55,582.4,597.94,621.25,1.5,2.5,4.0,3_WAVE
2024-09-13T00:00:00.000Z,SPY,CALL,562.01,546.89,584.69,599.81,622.49,1.5,2.5,4.0,3_WAVE
2024-09-16T00:00:00.000Z,SPY,CALL,562.84,547.94,585.19,600.09,622.44,1.5,2.5,4.0,3_WAVE
2024-09-17T00:00:00.000Z,SPY,CALL,563.07,547.89,585.84,601.02,623.79,1.5,2.5,4.0,3_WAVE
2024-09-18T00:00:00.000Z,SPY,CALL,561.4,546.04,584.44,599.8,622.84,1.5,2.5,4.0,3_WAVE
2024-09-19T00:00:00.000Z,SPY,CALL,570.98,554.9,595.1,611.18,635.3,1.5,2.5,4.0,3_WAVE
2024-12-26T00:00:00.000Z,SPY,CALL,601.34,588.26,620.96,634.04,653.66,1.5,2.5,4.0,3_WAVE
2024-12-27T00:00:00.000Z,SPY,CALL,595.01,580.75,616.4,630.66,652.05,1.5,2.5,4.0,3_WAVE
2024-12-30T00:00:00.000Z,SPY,CALL,588.22,573.0,611.05,626.27,649.1,1.5,2.5,4.0,3_WAVE
2024-12-31T00:00:00.000Z,SPY,CALL,586.08,570.48,609.48,625.08,648.48,1.5,2.5,4.0,3_WAVE
2025-01-02T00:00:00.000Z,SPY,PUT,584.64,600.94,560.19,543.89,519.44,1.5,2.5,4.0,3_WAVE
2025-01-03T00:00:00.000Z,SPY,PUT,591.95,608.95,566.45,549.45,523.95,1.5,2.5,4.0,3_WAVE
2025-01-06T00:00:00.000Z,SPY,PUT,595.36,612.84,569.14,551.66,525.44,1.5,2.5,4.0,3_WAVE
2025-01-07T00:00:00.000Z,SPY,PUT,588.63,607.17,560.82,542.28,514.47,1.5,2.5,4.0,3_WAVE
2025-01-08T00:00:00.000Z,SPY,PUT,589.49,608.25,561.35,542.59,514.45,1.5,2.5,4.0,3_WAVE
2025-01-10T00:00:00.000Z,SPY,PUT,580.49,597.87,554.42,537.04,510.97,1.5,2.5,4.0,3_WAVE
2025-01-13T00:00:00.000Z,SPY,PUT,581.39,598.67,555.47,538.19,512.27,1.5,2.5,4.0,3_WAVE
2025-01-14T00:00:00.000Z,SPY,PUT,582.19,598.29,558.04,541.94,517.79,1.5,2.5,4.0,3_WAVE
2025-01-15T00:00:00.000Z,SPY,PUT,592.78,609.48,567.73,551.03,525.98,1.5,2.5,4.0,3_WAVE
2025-01-16T00:00:00.000Z,SPY,PUT,591.64,607.88,567.28,551.04,526.68,1.5,2.5,4.0,3_WAVE
2025-01-17T00:00:00.000Z,SPY,PUT,597.58,614.3,572.5,555.78,530.7,1.5,2.5,4.0,3_WAVE
2025-01-21T00:00:00.000Z,SPY,PUT,603.05,619.03,579.08,563.1,539.13,1.5,2.5,4.0,3_WAVE
2025-01-22T00:00:00.000Z,SPY,PUT,606.44,621.58,583.73,568.59,545.88,1.5,2.5,4.0,3_WAVE
2025-01-23T00:00:00.000Z,SPY,PUT,609.75,624.61,587.46,572.6,550.31,1.5,2.5,4.0,3_WAVE
2025-01-24T00:00:00.000Z,SPY,PUT,607.97,621.89,587.09,573.17,552.29,1.5,2.5,4.0,3_WAVE
2025-01-27T00:00:00.000Z,SPY,CALL,599.37,584.69,621.39,636.07,658.09,1.5,2.5,4.0,3_WAVE
2025-01-28T00:00:00.000Z,SPY,CALL,604.52,589.78,626.63,641.37,663.48,1.5,2.5,4.0,3_WAVE
2025-01-29T00:00:00.000Z,SPY,CALL,601.81,587.89,622.69,636.61,657.49,1.5,2.5,4.0,3_WAVE
2025-01-30T00:00:00.000Z,SPY,CALL,605.04,591.04,626.04,640.04,661.04,1.5,2.5,4.0,3_WAVE
2025-01-31T00:00:00.000Z,SPY,CALL,601.82,588.12,622.37,636.07,656.62,1.5,2.5,4.0,3_WAVE
2025-02-03T00:00:00.000Z,SPY,CALL,597.77,583.35,619.4,633.82,655.45,1.5,2.5,4.0,3_WAVE
2025-02-04T00:00:00.000Z,SPY,CALL,601.78,587.6,623.05,637.23,658.5,1.5,2.5,4.0,3_WAVE
2025-02-05T00:00:00.000Z,SPY,CALL,604.22,590.9,624.2,637.52,657.5,1.5,2.5,4.0,3_WAVE
2025-02-06T00:00:00.000Z,SPY,CALL,606.32,592.94,626.39,639.77,659.84,1.5,2.5,4.0,3_WAVE
2025-02-07T00:00:00.000Z,SPY,CALL,600.77,587.33,620.93,634.37,654.53,1.5,2.5,4.0,3_WAVE
2025-02-10T00:00:00.000Z,SPY,CALL,604.85,591.53,624.83,638.15,658.13,1.5,2.5,4.0,3_WAVE
2025-02-11T00:00:00.000Z,SPY,CALL,605.31,592.17,625.02,638.16,657.87,1.5,2.5,4.0,3_WAVE
2025-02-12T00:00:00.000Z,SPY,CALL,603.36,589.86,623.61,637.11,657.36,1.5,2.5,4.0,3_WAVE
2025-02-13T00:00:00.000Z,SPY,CALL,609.73,595.83,630.58,644.48,665.33,1.5,2.5,4.0,3_WAVE
2025-02-14T00:00:00.000Z,SPY,CALL,609.7,597.44,628.09,640.35,658.74,1.5,2.5,4.0,3_WAVE
2025-02-26T00:00:00.000Z,SPY,CALL,594.54,582.86,612.06,623.74,641.26,1.5,2.5,4.0,3_WAVE
2025-02-27T00:00:00.000Z,SPY,CALL,585.05,572.01,604.61,617.65,637.21,1.5,2.5,4.0,3_WAVE
2025-02-28T00:00:00.000Z,SPY,CALL,594.18,580.54,614.64,628.28,648.74,1.5,2.5,4.0,3_WAVE
2025-03-03T00:00:00.000Z,SPY,CALL,583.77,568.31,606.96,622.42,645.61,1.5,2.5,4.0,3_WAVE
2025-03-04T00:00:00.000Z,SPY,PUT,576.86,593.7,551.6,534.76,509.5,1.5,2.5,4.0,3_WAVE
2025-03-05T00:00:00.000Z,SPY,PUT,583.06,600.62,556.72,539.16,512.82,1.5,2.5,4.0,3_WAVE
2025-03-06T00:00:00.000Z,SPY,PUT,572.71,591.15,545.05,526.61,498.95,1.5,2.5,4.0,3_WAVE
2025-05-02T00:00:00.000Z,SPY,PUT,566.76,589.98,531.93,508.71,473.88,1.5,2.5,4.0,3_WAVE
2025-05-05T00:00:00.000Z,SPY,PUT,563.51,585.95,529.85,507.41,473.75,1.5,2.5,4.0,3_WAVE
2025-05-06T00:00:00.000Z,SPY,PUT,558.8,581.26,525.11,502.65,468.96,1.5,2.5,4.0,3_WAVE
2025-05-07T00:00:00.000Z,SPY,CALL,561.15,540.09,592.74,613.8,645.39,1.5,2.5,4.0,3_WAVE
2025-05-08T00:00:00.000Z,SPY,CALL,565.06,543.72,597.07,618.41,650.42,1.5,2.5,4.0,3_WAVE
2025-05-09T00:00:00.000Z,SPY,CALL,564.34,544.9,593.5,612.94,642.1,1.5,2.5,4.0,3_WAVE
2025-05-12T00:00:00.000Z,SPY,CALL,582.99,563.09,612.84,632.74,662.59,1.5,2.5,4.0,3_WAVE
2025-10-23T00:00:00.000Z,SPY,CALL,671.76,654.86,697.11,714.01,739.36,1.5,2.5,4.0,3_WAVE
2025-11-17T00:00:00.000Z,SPY,CALL,665.67,648.93,690.78,707.52,732.63,1.5,2.5,4.0,3_WAVE
2025-11-18T00:00:00.000Z,SPY,CALL,660.08,642.92,685.82,702.98,728.72,1.5,2.5,4.0,3_WAVE
2025-11-19T00:00:00.000Z,SPY,CALL,662.63,645.33,688.58,705.88,731.83,1.5,2.5,4.0,3_WAVE
2025-11-20T00:00:00.000Z,SPY,CALL,652.53,632.67,682.32,702.18,731.97,1.5,2.5,4.0,3_WAVE
2025-11-21T00:00:00.000Z,SPY,CALL,659.03,638.05,690.5,711.48,742.95,1.5,2.5,4.0,3_WAVE
